Month,ObsTime,Date,StnPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,RH,RHMin,WS,WD,WSGust,WDGust,Precp
2024/11,1,2024/11/01,999.7,1001.4,998,24.9,30.1,20.9,74,50,1.8,323,9,332,0
2024/11,2,2024/11/02,998.4,999.5,996.9,26.7,31.8,23.2,73,51,1.1,3,5.1,164,0
2024/11,3,2024/11/03,998.6,999.7,997.6,26.4,30,23.6,78,61,1.3,307,5.1,3,0
2024/11,4,2024/11/04,999.2,1000.9,997.8,27.1,32.4,24.8,77,45,1.1,304,6.2,1,0
2024/11,5,2024/11/05,999.4,1001,998,25.7,30.9,23.6,81,55,1.3,316,5.7,307,0
2024/11,6,2024/11/06,998.4,999.4,996.9,26.5,31.5,23,74,53,1.2,319,4.7,343,0
2024/11,7,2024/11/07,998.3,999.4,997.3,25.3,28.6,23.6,84,67,1.1,313,3.3,7,4
2024/11,8,2024/11/08,997.4,998.9,995.6,25.5,29,22.4,82,60,1.1,296,4.7,323,10
2024/11,9,2024/11/09,995.3,997.8,993.7,21.9,24.6,19.2,91,84,1.7,329,8.8,7,55
2024/11,10,2024/11/10,995.2,997.7,993,19.8,20.9,19,91,86,1.6,345,7.1,360,46
2024/11,11,2024/11/11,998.1,1000.2,996.6,20.6,23.4,18.4,89,78,1.5,324,7.6,342,7
2024/11,12,2024/11/12,1000.6,1002,997.1,22,26.4,20,86,69,1.5,321,5.6,337,0
2024/11,13,2024/11/13,1001.4,1002.7,1000.3,21.9,24.9,20.4,87,74,2,323,8.2,341,0
2024/11,14,2024/11/14,1001.7,1002.8,1000.2,22.9,27.4,20,77,61,2,348,7.6,312,0
2024/11,15,2024/11/15,1002.1,1003.3,1000.8,22.6,26.7,20.6,81,70,2,323,10.6,303,0
2024/11,16,2024/11/16,1000.5,1001.9,999.1,24.5,27.5,21.8,79,64,0.9,317,4.1,187,0
2024/11,17,2024/11/17,999.8,1001.5,998.6,24.8,27.3,22.6,86,66,0.6,349,2.7,353,1
2024/11,18,2024/11/18,997.5,998.9,995.8,26.1,28.9,22.9,77,60,0.7,311,3.8,160,0
